lk,jrk,ID,takte,eeltakt,mõõt,maakond,Aasta,,kogujad,viide,SX,tekst,Attn,kogujad,maakond,maakond,kogujad,kogutud viise,taktimõõdud,,,tekst
,18,0018-r,2,,9/8,Vändra,,,Saar,14,,"E: Mis sa si-ti-kas si-ri-sed, K: Mis sa si-ti-kas si-ri-sed?",,Saar (14),18. Vändra,Iisaku,J.Müür,5,2/4 2/4 3/4 2/4,,,"E: Mis sa sitikas sirised, K: Mis sa sitikas sirised?"
,19,0019-r,4,,2/4,Saaremaa,,,Süda-Liiv,22,,"Läk-sin mi-na kul-la-(la) kar-ja-maa-le, ka-ri mul rap-sis ran-da kau-du.",,Süda-Liiv (22),19. Saaremaa,Jaagupi,J.Sollmann,2,2/4 2/4 3/4 2/4 2/4 3/4,,,"Läksin mina kulla(la) karjamaale, kari mul rapsis randa kaudu."
4,20,0020-r,4,,3/8,Harju-Jaani,,,Viljak-Vilberg,10,[37],Läh-me _ _ kii-ke _ _ kat-su--mai-e.,,Viljak-Vilberg (10) [37],20. Harju-Jaani,Jamaja,J.Söödor,1,2/4 2/4 3/4 3/4,,,Lähme kiike katsumaie.
,21,0021-r,8,,2/4,Rõuge,1909,,J.Gutveis,29,,"Ä-ra u-ni mul-lõ tul-gu, hai-ku mul-lõ ha-ri-ne-gu; as-tu e-si a-ja-ma-ta, tu-lõ ü-les tuus-ti-mat-ta.",,J.Gutveis (29),"21. Rõuge, 1909",Jamaja-Anseküla,J.Sõster,14,2/4 2/4 3/4 3/4 2/4 2/4 3/4 3/4,,,"Ära uni mullõ tulgu, haiku mullõ harinegu; astu esi ajamata, tulõ üles tuustimatta."
,22,0022-r,8,,2/4,Koeru ja Järva-Jaani,,,Martin-Rosenstrauch,231,,A-ni Pee-ter võt-tis nai-se ...,,Martin-Rosenstrauch (231),22. Koeru ja Järva-Jaani,"Jamaja, Anseküla",J.Välbe,58,2/4 2/4 3/4 3/4 3/4 3/4,,,Ani Peeter võttis naise ...
,23,0023-r,4,,2/4,Ridala,,,Kreek-Mudda,11,,Ann läks al-la me-re ää-re sii-di-tek-ki lo-pu-ta-ma.,,Kreek-Mudda (11),23. Ridala,Järva-Jaani,Jaan Müür,2,2/4 2/4 3/8 2/4,,,Ann läks alla mere ääre siiditekki loputama.
,24,0024-r,2,,2/4,Kuusalu,,,Viljak-Vilberg,112,,"Neit-si-ke-ne noo-ru-ke-ne, kui sina ta-had mei-le tul-la...",,Viljak-Vilberg (112),24. Kuusalu,Järva-Madise,"Joh. Muda, Jul. Muda",1,2/4 2/4 3/8 2/4 2/4 2/4 2/4 2/4,,,"Neitsikene noorukene, kui sina tahad meile tulla..."
,25,0025-r,2,,2/4,Kuusalu,,,Viljak-Vilberg,131,,Ku-ku-me ü-le _ _ kol-me kae-vu.,,Viljak-Vilberg (131),25. Kuusalu,Järvamaa,K.A.Hermann,36,2/4 2/4 3/8 2/4 2/4 3/8,,,Kukume üle kolme kaevu.
5,26,0026-r,4,,2/4,Väike-Maarja,,,P.Penna,209,,Mullu mina võt-sin nai-se noo-re...,,P.Penna (209),26. Väike-Maarja,Jõelähtme,K.Ruut,4,2/4 2/4 3/8 3/8 3/8 3/8,,,Mullu mina võtsin naise noore...
,27,0027-r,4,,2/4,Haljala,,,Viljak-Mark,8,a,"Nägin aga nägin aga ven-ni-ke-ne, nägin aga nei-ut kas-va-mai-e.",,Viljak-Mark (8) a,27. Haljala,Jõelehtme,K.Viljak,93,2/4 2/4 5/8 2/4,,,"Nägin aga nägin aga vennikene, nägin aga neiut kasvamaie."
,28,0028-r,4,,2/4,Kanepi,,,P.Tatz,47,,"Kui mi-na är-ga ü-te-le-ma, kui mina är-ga ü-te-le-ma.",,P.Tatz (47),28. Kanepi,Jõhvi,Kampmann,1,2/4 2/4 5/8 2/4 2/4 5/8,,,"Kui mina ärga ütelema, kui mina ärga ütelema."
,29,0029-r,4,,2/4,Avinurme,1909,,M.Sild,1,,"Kes sind käs-kis kos-ja tul-la, kes sind käs-kis kos-ja tul-la,
Pani aga, pa-ni nais-ta võt-ma, pani aga, pa-ni nais-ta võt-ma!",,M.Sild (1),"29. Avinurme, 1909",Jüri,Kiis-Eisenschmidt,14,2/4 2/4 5/8 2/4 5/8 5/8 5/8 5/8,,,"Kes sind käskis kosja tulla, kes sind käskis kosja tulla,
Pani aga, pani naista võtma, pani aga, pani naista võtma!"
,30,0030-r,4,,2/4,Ambla,,,J.Välbe,40,,"Kes sind käs-kis kos-ja tul-la, pani aga, pa-ni nais-ta võt-ma?",,J.Välbe (40),30. Ambla,Juuru,Köstner,6,2/4 2/4 6/8,,,"Kes sind käskis kosja tulla, pani aga, pani naista võtma?"
,31,0031-r,2,,2/4,Kuusalu,,,Viljak-Vilberg,198,,"U--ra--ge, _ _ u--ra-ge, o-med.",,Viljak-Vilberg (198),31. Kuusalu,Kadrina,Kreek-Mudda,11,2/4 2/4 6/8 2/4,,,"Urage, urage, omed."
,32,0032-r,2,,2/4,Kuusalu,,,Viljak-Vilberg,197,,Pe-re--tü-tar pii-ma-kuo-ki.,,Viljak-Vilberg (197),32. Kuusalu,Kambja,Lähteenkorva,20,2/4 2/4 9/8 2/4 2/4 2/4 2/4,,,Peretütar piimakuoki.
6,33,0033-r,4,,2/4,Audru,,,K.Viljak,2,,"O-leks mi-na siis-ki ä-ra sur-nud, kui mi-na o-lin pi--si-ke.",,K.Viljak (2),33. Audru,Kanepi,Lähteenkorvu,8,2/4 3/4 2/4 2/4 3/4 2/4,,,"Oleks mina siiski ära surnud, kui mina olin pisike."
,34,0034-r,2,,2/4,Kuusalu,,,Viljak-Vilberg,194,,Pei-u-ka-ne poi-si--ka-ne.,,Viljak-Vilberg (194),34. Kuusalu,Karksi,Liiv-Raja,22,2/4 3/8 2/4 2/4 2/4 2/4,,,Peiukane poisikane.
,35,0035-r,2,,2/4,Kuusalu,,,Viljak-Vilberg,176,,Neit--si--ka-ne nuo--ru-ka-ne.,,Viljak-Vilberg (176),35. Kuusalu,Karula,Lindpere,5,2/4 3/8 2/4 5/4,,,Neitsikane nuorukane.
,36,0036-r,4,,2/4,Viru-Nigula,,,K.Viljak,6,,"Mi-na lais-ka lak-ke-kae-la, mi-na lais-ka lak-ke-kae-la.",,K.Viljak (6),36. Viru-Nigula,Keila,M.Pehka,13,2/4 3/8 3/8 3/4,,,"Mina laiska lakkekaela, mina laiska lakkekaela."
,37,0037-r,2,,2/4,Järvamaa,,,Penna-Rosenstrauch,74,,Läh-me jaa-ni-päev ki-ri-ku. _ _,,Penna-Rosenstrauch (74),37. Järvamaa,Kihnu,M.Sild,2,2/4 3/8 6/8 2/4 3/8 6/8,,,Lähme jaanipäev kiriku.
,38,0038-r,4,,2/4,Järvamaa,,,Penna-Rosenstrauch,48,,"Kut-saril kuld-ne ku-ke-har-ja, re-hel laul-di-sed vä-ra-vad.",,Penna-Rosenstrauch (48),38. Järvamaa,Kodavere,M.Sõster,4,2/4 5/8 2/4 2/4,,,"Kutsaril kuldne kukeharja, rehel lauldised väravad."
,39,0039-r,4,,2/4,Jõhvi,,,Penna-Sildnik,90,a,"Oot-kem, oot-kem, val-la-rah-vas ...",,Penna-Sildnik (90) a,39. Jõhvi,Koeru,Martin-Johanson,7,2/4 5/8 2/4 5/8,,,"Ootkem, ootkem, vallarahvas ..."
,40,0040-r,4,,2/4,Väike-Maarja,,,P.Penna,155,,"Pe-re-nai-ne, pöö-ri kae-la, pa-ni nöö-ri or-ja kae-la.",,P.Penna (155),40. Väike-Maarja,Koeru ja Järva-Jaani,Martin-Rosenstrauch,19,2/4 5/8 3/4 2/4 2/4 3/4,,,"Perenaine, pööri kaela, pani nööri orja kaela."
7,41,0041-r,4,,2/4,Jõhvi,,,Penna-Sildnik,32,,"Õ-de, hel-la, eks ma ööl-nud ...",,Penna-Sildnik (32),41. Jõhvi,Kolga-Jaani,Martin-Tatz,11,2/4 5/8 9/8,,,"Õde, hella, eks ma öölnud ..."
,42,0042-r,2,,6/8,Kadrina,,,K.Viljak,2,,"Too-ge _ _ ka-nad, _ _ too-ge mu-nad.",,K.Viljak (2),42. Kadrina,Kose,Miina Hermann,8,3/4,,,"Tooge kanad, tooge munad."
,43,0043-r,4,,2/4,Kadrina,,,K.Viljak,34,,"Lõ-pe, lõ-pe, põl-lu-ke-ne, a-ki, ar-mas väl-ja-ke-ne.",,K.Viljak (34),43. Kadrina,Krantsova,O.Kallas,6,3/4 2/4 2/4,,,"Lõpe, lõpe, põllukene, aki, armas väljakene."
,44,0044-r,2,,2/4,Kuusalu,,,Viljak-Vilberg,182,,"Läh-me, _ _ läh--me, käi-me, käi-me.",,Viljak-Vilberg (182),44. Kuusalu,Krimmi,Oidermann,1,3/4 2/4 2/4 2/4 3/4 2/4 2/4 2/4,,,"Lähme, lähme, käime, käime."
,45,0045-r,2,,2/4,Kuusalu,,,Viljak-Vilberg,175,,Li-u la--u las-ki-ja-le.,,Viljak-Vilberg (175),45. Kuusalu,Kursi,Orav,1,3/4 2/4 2/4 3/4 2/4 2/4,,,Liu lau laskijale.
,46,0046-r,4,,2/4,Kuusalu,,,Viljak-Vilberg,18,,"O-li mul üks ai-nus ven-da, see te-gi kul-da-se ku-ri-ka.",,Viljak-Vilberg (18),46. Kuusalu,Kursi ja Võnnu,P.Kurg,33,3/4 2/4 3/4 2/4,,,"Oli mul üks ainus venda, see tegi kuldase kurika."
,47,0047-r,4,,2/4,Kadrina,,,K.Viljak,29,,"Tõest ei kõi-gi-ga kõ-nel-da, hääd ei hal-ba il-mu-ta-ta.",,K.Viljak (29),47. Kadrina,Kuusalu,P.Penna,98,3/4 3/4 2/4 2/4 3/4 3/4 2/4 2/4,,,"Tõest ei kõigiga kõnelda, hääd ei halba ilmutata."
