lk,jrk,ID,takte,eeltakt,mõõt,maakond,Aasta,,kogujad,viide,SX,tekst,Attn,kogujad,maakond,maakond,kogujad,kogutud viise,taktimõõdud,,,tekst
,416,0416-r,2,,6/8,Järvamaa,,,Penna-Rosenstrauch,26,,Oh te _ _ hul-lud kii-ge-se-pad...,,Penna-Rosenstrauch (26),416. Järvamaa,,,1365,,,,Oh te hullud kiigesepad...
56,417,0417-r,2,,2/4,Järva-Jaani,,,Välbe-Martin-Rosenstrauch,40,,"Kuul-sin _ _ kii-ke kii-gu-ta-ma,
kii-ge-lau-da lau-le-ta-ma.",,Välbe-Martin-Rosenstrauch (40),417. Järva-Jaani,,,1365,,,,"Kuulsin kiike kiigutama,
kiigelauda lauletama."
,418,0418-r,4,,2/4,Rakvere,,,Elken-Rosenstrauch,28,,"Lõ-pe, lõ-pe, põl-lu-ke-ne, saa _ _ ot-sa, saa-re-ke-ne.",,Elken-Rosenstrauch (28),418. Rakvere,,,1365,,,,"Lõpe, lõpe, põllukene, saa otsa, saarekene."
,419,0419-r,4,,2/4,Rakvere,,,Elken-Rosenstrauch,25,,"Huist! huist! Koe-ra hau-ku-ma-ta, kir-kju lits mind kis-ku-ma-ta!",,Elken-Rosenstrauch (25),419. Rakvere,,,1365,,,,"Huist! huist! Koera haukumata, kirkju lits mind kiskumata!"
,420,0420-r,4,,2/4,Järva-Jaani,,,Välbe-Martin-Rosenstrauch,37,,"Kõi-gil po-le hääl-ta häs-ti _ _ laul-da, kur-ku kul-las-ti kõ-nel-da.",,Välbe-Martin-Rosenstrauch (37),420. Järva-Jaani,,,1365,,,,"Kõigil pole häälta hästi laulda, kurku kullasti kõnelda."
,421,0421-r,4,,2/4,Kuusalu,,,Viljak-Vilberg,16,,"Oh me vae-sed val-la or-jad, kin-ni-kih-la-tud su-la-sed.",,Viljak-Vilberg (16),421. Kuusalu,,,1365,,,,"Oh me vaesed valla orjad, kinnikihlatud sulased."
,422,0422-r,2,,2/4,Ambla,,,J.Välbe,174,,"Kii-ge--se-pad, _ _ hel-lad _ _ ven-nad.",,J.Välbe (174),422. Ambla,,,1365,,,,"Kiigesepad, hellad vennad."
,423,0423-r,2,,2/4,Järva-Madise,,,P.Penna,67/3,,"Va-res, va-ga lin-nu-ke-ne...",,P.Penna (67/3),423. Järva-Madise,,,1365,,,,"Vares, vaga linnukene..."
,424,0424-r,2,,2/4,Kuusalu,,,Viljak-Vilberg,5,,Kui mi-na hak-kan lau--le-mai-e...,,Viljak-Vilberg (5),424. Kuusalu,,,1365,,,,Kui mina hakkan laulemaie...
57,425,0425-r,4,,2/4,Kursi ja Võnnu,,,J.Kärt,29,,"Tu-le, tee sea-le ae--da, _ _ tu-le, tee sea-le ae--da._",,J.Kärt (29),425. Kursi ja Võnnu,,,1365,,,,"Tule, tee seale aeda, tule, tee seale aeda._"
,426,0426-r,4,,2/4,Jõhvi,,,Penna-Sildnik,13,b,Ma te-gin od-rad o-ja-se ja kae-rad jõ-e kal-das-se.,,Penna-Sildnik (13) b,426. Jõhvi,,,1365,,,,Ma tegin odrad ojase ja kaerad jõe kaldasse.
,427,0427-r,4,,2/4,Kuusalu,,,Viljak-Vilberg,41,,"Kad-ri tul-nud kau-ge-el-ta, ü-le soo-de, ü-le maa-de.",,Viljak-Vilberg (41),427. Kuusalu,,,1365,,,,"Kadri tulnud kaugeelta, üle soode, üle maade."
,428,0428-r,4,,2/4,Järva-Madise,,,P.Penna,71/2,,"Si-ri-se, si-ri-se, sir-pi, kõ-ri-se, kõ--ve-ra rau-da.",,P.Penna (71/2),428. Järva-Madise,,,1365,,,,"Sirise, sirise, sirpi, kõrise, kõvera rauda."
,429,0429-r,4,,2/4,Kadrina,,,K.Viljak,14,,"Te-re, te-re, pe-re-ke-ne, te-re, pe-re-ei-de-ke-ne.",,K.Viljak (14),429. Kadrina,,,1365,,,,"Tere, tere, perekene, tere, pereeidekene."
,430,0430-r,4,,2/4,Harju-Jaani,,,Viljak-Vilberg,15,[42],"Hir-nu, hir-nu, hii-e hal-li, kat-su ae-da, hal-li-ke-ne.",,Viljak-Vilberg (15) [42],430. Harju-Jaani,,,1365,,,,"Hirnu, hirnu, hiie halli, katsu aeda, hallikene."
,431,0431-r,4,,2/4,Viljandi,,,T.Leppik,4,,"Ki-r tu-li kei-sa-ris-ta, raa-mat tu-li Prant-su-ses-ta.",,T.Leppik (4),431. Viljandi,,,1365,,,,"Kir tuli keisarista, raamat tuli Prantsusesta."
,432,0432-r,2,,6/8,Ambla,,,J.Välbe,185,,"Kii-ge--se-pad, _ _ hel-lad ven-nad... _ ",,J.Välbe (185),432. Ambla,,,1365,,,,"Kiigesepad, hellad vennad... "
58,433,0433-r,2,,6/8,Järva-Madise,,,P.Penna,106/2,,"Kii-ge--se-pad, _ _ hel-lad ven-nad.",,P.Penna (106/2),433. Järva-Madise,,,1365,,,,"Kiigesepad, hellad vennad."
,434,0434-r,2,,6/8,Järva-Madise,,,P.Penna,78/3,,"Tu-leb a-ga Mar-ti, _ _ tiu-gub Mar-ti...",,P.Penna (78/3),434. Järva-Madise,,,1365,,,,"Tuleb aga Marti, tiugub Marti..."
,435,0435-r,2,,6/8,Järva-Madise,,,P.Penna,70/1,,Oh mi-na väi-ke _ _ me-hi-ke-ne...,,P.Penna (70/1),435. Järva-Madise,,,1365,,,,Oh mina väike mehikene...
,436,0436-r,4,,2/4,Simuna,,,Siimer-Rosenstrauch,19,,"Pe-re-mees, pe-re-me-hi-ke, pe-re-nai-ne, nai-su-ke-ne.",,Siimer-Rosenstrauch (19),436. Simuna,,,1365,,,,"Peremees, peremehike, perenaine, naisukene."
,437,0437-r,4,,2/4,Koeru,,,Välbe-Martin-Rosenstrauch,60,,"Ma pa-luks pe-re-i-sa-da, ma pa-luks pe-re-e-man-da.",,Välbe-Martin-Rosenstrauch (60),437. Koeru,,,1365,,,,"Ma paluks pereisada, ma paluks pereemanda."
,438,0438-r,6,,2/4,Järvamaa,,,Välbe-Martin-Rosenstrauch,65,,"Sü-da kut-sub kos-ja min-na, kos-ja min-na, kos-ja min-na, sü-da kut-sub kos-ja min-na.",,Välbe-Martin-Rosenstrauch (65),438. Järvamaa,,,1365,,,,"Süda kutsub kosja minna, kosja minna, kosja minna, süda kutsub kosja minna."
,439,0439-r,6,,2/4,Järva-Madise,,,P.Penna,57/5,,Läk-sin kü-la kii-ge al-la ...,,P.Penna (57/5),439. Järva-Madise,,,1365,,,,Läksin küla kiige alla ...
59,440,0440-r,4,,2/4,Järva-Madise,,,P.Penna,91/5,,"Oh mi-na vae-ne, oh mi-na vae-ne, oh mi-na vae-ne põlg-tud laps.",,P.Penna (91/5),440. Järva-Madise,,,1365,,,,"Oh mina vaene, oh mina vaene, oh mina vaene põlgtud laps."
,441,0441-r,4,,2/4,Kadrina,,,K.Viljak,88,,"Sõit-sin möö-da _ _ Soo-me sil-da, Soo-me sil-da rak-sa-te-li.",,K.Viljak (88),441. Kadrina,,,1365,,,,"Sõitsin mööda Soome silda, Soome silda raksateli."
,442,0442-r,4,,2/4,Türi,,,Siimer,17,,"Roi roi roi roi ro-ti pul-mad, hii-re tü-tar sai me-he-le.",,Siimer (17),442. Türi,,,1365,,,,"Roi roi roi roi roti pulmad, hiire tütar sai mehele."
,443,0443-r,8,,2/4,Rõuge,1909,,J.Gutves,32,,"Mil-les här-ra hi-go-va-sõ, mil-les prov-va pu-nõ-ta-sõ?
vaes-tõ las-tõ vai-va lä-bi, tü-tar-las-tõ tüü lä-bi!",,J.Gutves (32),"443. Rõuge, 1909",,,1365,,,,"Milles härra higovasõ, milles provva punõtasõ?
vaestõ lastõ vaiva läbi, tütarlastõ tüü läbi!"
,444,0444-r,4,,2/4,Laiuse,,,Välbe-Sulg,59,,"Oh mi-na vae-ne val-ge _ _ jä-nes, ke-va--de-ne ker-ge jä-nes.",,Välbe-Sulg (59),444. Laiuse,,,1365,,,,"Oh mina vaene valge jänes, kevadene kerge jänes."
,445,0445-r,4,,2/4,Järvamaa,,,K.Viljak,7,,"Taht-sin min-na tae-va-as-se, taht-sin min-na tae-va-as-se.",,K.Viljak (7),445. Järvamaa,,,1365,,,,"Tahtsin minna taevaasse, tahtsin minna taevaasse."
,446,0446-r,4,,2/4,Järvamaa,,,Penna-Rosenstrauch,91,,"Vii-di mind pe-re mi-ni-jaks, pan-di mind pa-da pe-se-ma.",,Penna-Rosenstrauch (91),446. Järvamaa,,,1365,,,,"Viidi mind pere minijaks, pandi mind pada pesema."
60,447,0447-r,4,,2/4,Kuusalu,,,Viljak-Vilberg,78,,"O-li mul vii-si ven-ni--kes-ta, kuu-si _ _ kul-la vir-ve-kes-ta.",,Viljak-Vilberg (78),447. Kuusalu,,,1365,,,,"Oli mul viisi vennikesta, kuusi kulla virvekesta."
,448,0448-r,4,,2/4,Järvamaa,,,Penna-Rosenstrauch,94,,"Lõ-pe-ta-me sel-le põl-lu kü-la al-ta, mõi-sa al-ta.",,Penna-Rosenstrauch (94),448. Järvamaa,,,1365,,,,"Lõpetame selle põllu küla alta, mõisa alta."
,449,0449-r,4,,2/4,Simititsa,,,Penna-Luud,6 a,,"Tu-le, u-ni, uk-sest sis-se, as-tu, u-ni, a-ke-nas-ta.",,Penna-Luud (6 a),449. Simititsa,,,1365,,,,"Tule, uni, uksest sisse, astu, uni, akenasta."
,450,0450-r,4,,2/4,Väike-Maarja,,,P.Penna,165,,"Nüüd i-lus vi-lu-la veer-da, ar-mas hel-la-le kõ-nel-da.",,P.Penna (165),450. Väike-Maarja,,,1365,,,,"Nüüd ilus vilula veerda, armas hellale kõnelda."
,451,0451-r,4,,2/4,Järvamaa,,,Penna-Rosenstrauch,21,,"Li-hu-las küll pee-ti laa-ta, mul polnd a-ga se-da ae-ga.",,Penna-Rosenstrauch (21),451. Järvamaa,,,1365,,,,"Lihulas küll peeti laata, mul polnd aga seda aega."
,452,0452-r,4,,2/4,Türi,,,Siimer,50,,"Oi, mis ku-kun kur-ba lin-du, oi, mis ku-kun kur-ba lin-du.",,Siimer (50),452. Türi,,,1365,,,,"Oi, mis kukun kurba lindu, oi, mis kukun kurba lindu."
,453,0453-r,4,,2/4,,,,A.Thomson,13,,"Ka-ri mul-män-gib kaa-si-kus-sa, ka-ri mul män-gib kaa-si-kus-sa.",,A.Thomson (13),453. ,,,1365,,,,"Kari mulmängib kaasikussa, kari mul mängib kaasikussa."
,454,0454-r,6,,2/4,Rakvere,,,Elken-Rosenstrauch,32,,"Las-ke sis-se mar-di-san-did, las-ke sis-se mar-di-san-did, las-ke sis-se mar-di-san-did.",,Elken-Rosenstrauch (32),454. Rakvere,,,1365,,,,"Laske sisse mardisandid, laske sisse mardisandid, laske sisse mardisandid."
61,455,0455-r,4,,2/4,Kadrina,,,K.Viljak,79,,"Mis seal mei-lä teh-ta-nek-se, et sealt suit-su tõu-se-nek-se.",,K.Viljak (79),455. Kadrina,,,1365,,,,"Mis seal meilä tehtanekse, et sealt suitsu tõusenekse."
,456,0456-r,4,,2/4,Koeru ja Järva-Jaani,,,Martin-Rosenstrauch,236,,"E-ma-ke-ne, hel-la-ke-ne, ko-du kur-jad ol-da-nek-se.",,Martin-Rosenstrauch (236),456. Koeru ja Järva-Jaani,,,1365,,,,"Emakene, hellakene, kodu kurjad oldanekse."
,457,0457-r,4,,2/4,Järva-Madise,,,P.Penna,14/7,,"Sõõ-ru, sõõ-ru, sõ-ge leh-ma ...",,P.Penna (14/7),457. Järva-Madise,,,1365,,,,"Sõõru, sõõru, sõge lehma ..."
,458,0458-r,4,,2/4,Vändra,,,Saar,31,,"Noo-res e-lus on ju tea-da, et siis lus-ti tun-neb sü-da.",,Saar (31),458. Vändra,,,1365,,,,"Noores elus on ju teada, et siis lusti tunneb süda."
,459,0459-r,4,,2/4,Kuusalu,,,Viljak-Vilberg,168,,"Pe-re-ei-te, ei-de-ke-ne, pe-re-taa-ti, taa-di-ke-ne.",,Viljak-Vilberg (168),459. Kuusalu,,,1365,,,,"Pereeite, eidekene, peretaati, taadikene."
,460,0460-r,4,,2/4,Kanepi,,,P.Kurg,12,,"E-li-mi hel-lad, e-li-mi _ _ vel-lad kas-vi-mi ü-les kar--ju--sek-sa.",,P.Kurg (12),460. Kanepi,,,1365,,,,"Elimi hellad, elimi vellad kasvimi üles karjuseksa."
,461,0461-r,4,,2/4,Simititsa,,,Penna-Luud,6 b,, ,,Penna-Luud (6 b),461. Simititsa,,,1365,,,, 
62,462,0462-r,4,,2/4,Krimmi,,,R.Kõhelik,4,,"OI oi oi oi hun-ta pal-ju, to-a ta-ga ton-ta pal-ju.",,R.Kõhelik (4),462. Krimmi,,,1365,,,,"OI oi oi oi hunta palju, toa taga tonta palju."
,463,0463-r,4,,2/4,Simititsa,,,Penna-Luud,15,,"Ko-ju'p min-da oo-da-tan-ne, Re-vä-väl-lä vaa-de-tan-ne.",,Penna-Luud (15),463. Simititsa,,,1365,,,,"Koju'p minda oodatanne, Revävällä vaadetanne."
,464,0464-r,4,,2/4,Kadrina,1877,,Lähteenkorva,363,,"Sei-e lei-ka-rid tu-le-vad, sei-e lei-kar lüö-neb lie-ri.",,Lähteenkorva (363),"464. Kadrina, 1877",,,1365,,,,"Seie leikarid tulevad, seie leikar lüöneb lieri."
,465,0465-r,4,,2/4,Paistu,,,Aavik-Sakeus,43,,"E-mä-kei--ne, _ _ mem-me-kei-ne, a-rak mu _ _ pan-na pai-ga-tõ-tu.",,Aavik-Sakeus (43),465. Paistu,,,1365,,,,"Emäkeine, memmekeine, arak mu panna paigatõtu."
,466,0466-r,4,,2/4,Türi,,,Siimer,73,,"Te-re, i-sa, te-re, e-ma, te-re, pe-re-mees ja -nai-ne.",,Siimer (73),466. Türi,,,1365,,,,"Tere, isa, tere, ema, tere, peremees ja naine."
,467,0467-r,4,,2/4,Alatskivi,,,Liiv-Raja,68,,"Mil-lal mak-san mem-me vae-va, he-a e-ma pii-ma vae-va?",,Liiv-Raja (68),467. Alatskivi,,,1365,,,,"Millal maksan memme vaeva, hea ema piima vaeva?"
,468,0468-r,4,,2/4,Valguta,,,P.Tatz,32,,"Kui mi-na hak-kan lau-le-mai-e, lau-le-mai-e, las-ke-mai-e.",,P.Tatz (32),468. Valguta,,,1365,,,,"Kui mina hakkan laulemaie, laulemaie, laskemaie."
,469,0469-r,4,,2/4,Kolga-Jaani,,,Siimer-Rosenstrauch,47,,"Tü-tar-lat-se, til-lu-ke-se, tü-tar-lat-se til-lu-ke-se.",,Siimer-Rosenstrauch (47),469. Kolga-Jaani,,,1365,,,,"Tütarlatse, tillukese, tütarlatse tillukese."
63,470,0470-r,4,,2/4,,,,Hermann,1297,,"Neit-si-ke-sed _ _ noo-ru-ke-sed, kui meid suu-rest' sun-ni--tak-se.",,Hermann (1297),470. ,,,1365,,,,"Neitsikesed noorukesed, kui meid suurest' sunnitakse."
,471,0471-r,4,,2/4,Pilistvere,,,Saar-Siimer,71,,"Ik-ki juon ma kõrt-sus-sa-gi, ik-ki juon ma kõrt-sus-sa-gi.",,Saar-Siimer (71),471. Pilistvere,,,1365,,,,"Ikki juon ma kõrtsussagi, ikki juon ma kõrtsussagi."
,472,0472-r,8,,2/4,Väike-Maarja,,,P.Penna,203,,"Mei-e me-hed just kui pul-lid, A-ru Jü-ri hal-lid sõn-nid.",,P.Penna (203),472. Väike-Maarja,,,1365,,,,"Meie mehed just kui pullid, Aru Jüri hallid sõnnid."
,473,0473-r,4,,2/4,Laiuse ja Simuna,,,Viljak-Rosenstrauch,7,,"Ii-dut-tii-dut tür-na-tam-me, ma-ha mi-na rai-un rau-da-tam-me.",,Viljak-Rosenstrauch (7),473. Laiuse ja Simuna,,,1365,,,,"Iiduttiidut türnatamme, maha mina raiun raudatamme."
,474,0474-r,4,,2/4,Kadrina,,,K.Viljak,4,,"Söö, _ _ söö, _ _ mei-e kar-ja, joo, _ _ joo, _ _ mei-e kar-ja.",,K.Viljak (4),474. Kadrina,,,1365,,,,"Söö, söö, meie karja, joo, joo, meie karja."
,475,0475-r,4,,2/4,Kadrina,,,K.Viljak,82,,"Mul o-li mul-lu mus-ta leh-ma, tu-na-mul-lu tõm-mu leh-ma.",,K.Viljak (82),475. Kadrina,,,1365,,,,"Mul oli mullu musta lehma, tunamullu tõmmu lehma."
,476,0476-r,4,,2/4,Kuusalu,,,Viljak-Vilberg,21,,"Jo-o, ku-ku, _ _ kan-na kae-la, võ-ta vas-tu vas-ki-rin-da.",,Viljak-Vilberg (21),476. Kuusalu,,,1365,,,,"Joo, kuku, kanna kaela, võta vastu vaskirinda."
64,477,0477-r,4,,2/4,,,,A.Thomson,12,,"Ka-ri mul män-gib kaa-si-kus-sa, ka-ri mul män-gib kaa-si-kus-sa.",,A.Thomson (12),477. ,,,1365,,,,"Kari mul mängib kaasikussa, kari mul mängib kaasikussa."
,478,0478-r,4,,2/4,Kuusalu,,,Viljak-Vilberg,123,,"Kus mi-na kuu-len rää-gi-tä--vä, rää-gi-tä--vä, nau-re--ta-va.",,Viljak-Vilberg (123),478. Kuusalu,,,1365,,,,"Kus mina kuulen räägitävä, räägitävä, nauretava."
,479,0479-r,4,,2/4,Haljala,,,Viljak-Mark,10,,"Mi-na mies me-re-me'e poi-ga, kal-lis mies ka-la-me'e poi-ga.",,Viljak-Mark (10),479. Haljala,,,1365,,,,"Mina mies mereme'e poiga, kallis mies kalame'e poiga."
,480,0480-r,4,,2/4,Koeru ja Järva-Jaani,,,Martin-Rosenstrauch,238,,"Neit-si-ke-ne, noo-ru-ke-ne ...",,Martin-Rosenstrauch (238),480. Koeru ja Järva-Jaani,,,1365,,,,"Neitsikene, noorukene ..."
,481,0481-r,4,,2/4,Alatskivi,,,Liiv-Raja,99,,"Nõt-ku, nõt-ku, nõe-la-ke-ne, nõt-ku, nõe-la-sil-ma-ke-ne.",,Liiv-Raja (99),481. Alatskivi,,,1365,,,,"Nõtku, nõtku, nõelakene, nõtku, nõelasilmakene."
,482,0482-r,4,,2/4,Urvaste,,,Hermann,282,,Ve-li läts sõt-ta sõ-da--ma ...,,Hermann (282),482. Urvaste,,,1365,,,,Veli läts sõtta sõdama ...
,483,0483-r,4,,2/4,Järva-Madise,,,P.Penna,84/4,,Mis on mei-e õu-e al-la? Me-ri on mei-e õu-e al-la.,,P.Penna (84/4),483. Järva-Madise,,,1365,,,,Mis on meie õue alla? Meri on meie õue alla.
,484,0484-r,4,,2/4,Väike-Maarja,,,P.Penna,181,,"Käi-sin õu-es hul-ku-mas-sa, oi i-me-ta, või i-me-ta!",,P.Penna (181),484. Väike-Maarja,,,1365,,,,"Käisin õues hulkumassa, oi imeta, või imeta!"
65,485,0485-r,4,,2/4,Järvamaa,,,K.Viljak,14,,"Pe-re--mees, pe-re-me-hi-ke, pe-re-nai-ne, nai-su-ke-ne.",,K.Viljak (14),485. Järvamaa,,,1365,,,,"Peremees, peremehike, perenaine, naisukene."
,486,0486-r,4,,2/4,Kadrina,,,K.Viljak,67,,"Oh se-da hea-da mei-e här-rat, pe-re-ma-da, mei-e prou-at.",,K.Viljak (67),486. Kadrina,,,1365,,,,"Oh seda heada meie härrat, peremada, meie prouat."
,487,0487-r,4,,2/4,Ambla,,,J.Välbe,155,,"En-nem mi-na män-gin mä-tas-te-ga, kar-gan ka-ru-sam-mal-de-ga.",,J.Välbe (155),487. Ambla,,,1365,,,,"Ennem mina mängin mätastega, kargan karusammaldega."
,488,0488-r,4,,2/4,Järvamaa,,,K.Viljak,10,,"Tul-ge kii-ke, kü-la nai-sed, too-ge ka-nad, too-ge mu-nad.",,K.Viljak (10),488. Järvamaa,,,1365,,,,"Tulge kiike, küla naised, tooge kanad, tooge munad."
,489,0489-r,2,,2/4,Järvamaa,,,Penna-Rosenstrauch,87,,"Kii-ge-se-pad, hel-lad ven-nad.",,Penna-Rosenstrauch (87),489. Järvamaa,,,1365,,,,"Kiigesepad, hellad vennad."
,490,0490-r,4,,2/4,Väike-Maarja,,,P.Penna,156,,"Oh si-na pe-tis pei-u-ke-ne, ä-ra te-ma pet-tis äi-a-ke-se.",,P.Penna (156),490. Väike-Maarja,,,1365,,,,"Oh sina petis peiukene, ära tema pettis äiakese."
,491,0491-r,2,,2/4,Järvamaa,,,Penna-Rosenstrauch,82,,"Kii-ge-se-pad, hel-lad ven-nad.",,Penna-Rosenstrauch (82),491. Järvamaa,,,1365,,,,"Kiigesepad, hellad vennad."
,492,0492-r,4,,2/4,Simititsa,,,Penna-Luud,52,,"Neit-si-ke-ne, nuo-ru-ke-ne, kir--ju pih-ta pee-ni-ke-ne.",,Penna-Luud (52),492. Simititsa,,,1365,,,,"Neitsikene, nuorukene, kirju pihta peenikene."
66,493,0493-r,4,,2/4,Koeru ja Järva-Jaani,,,Martin-Rosenstrauch,233,,"Kii-ge-se-pad, hel-lad ven-nad ...",,Martin-Rosenstrauch (233),493. Koeru ja Järva-Jaani,,,1365,,,,"Kiigesepad, hellad vennad ..."
,494,0494-r,4,,2/4,Paistu,,,Aavik-Sakeus,33,, ,,Aavik-Sakeus (33),494. Paistu,,,1365,,,, 
,495,0495-r,4,,2/4,Paistu,,,Aavik-Sakeus,23,,"Nä-e, kus mi-nu nää-gu-ta-ja, nä-e, kus mi-nu nää-gu-ta-ja.",,Aavik-Sakeus (23),495. Paistu,,,1365,,,,"Näe, kus minu näägutaja, näe, kus minu näägutaja."
,496,0496-r,4,,2/4,Türi,,,Siimer,5,,"Nei-u-ke-ne, noo-ru-ke-ne, nei-u-ke-ne, noo-ru-ke-ne.",,Siimer (5),496. Türi,,,1365,,,,"Neiukene, noorukene, neiukene, noorukene."
,497,0497-r,4,,2/4,Järva-Madise,,,P.Penna,15/8,,"Mis si-na, hää-le-tu, ä-gi-sed, il-ma kur-gu-ta ko-gi-sed.",,P.Penna (15/8),497. Järva-Madise,,,1365,,,,"Mis sina, hääletu, ägised, ilma kurguta kogised."
,498,0498-r,4,,2/4,Kuusalu,,,Viljak-Vilberg,6,,"Su-rek-sin mi-na ä-ra-je, su-rek-sin mi-na ä-ra-je.",,Viljak-Vilberg (6),498. Kuusalu,,,1365,,,,"Sureksin mina äraje, sureksin mina äraje."
,499,0499-r,4,,2/4,Kuusalu,,,Viljak-Vilberg,201,,"Pei--u ka-ne, poi-si-ka-ne, ei-le läk-sid kui sie pois-si.",,Viljak-Vilberg (201),499. Kuusalu,,,1365,,,,"Peiu kane, poisikane, eile läksid kui sie poissi."
,500,0500-r,4,,2/4,Kadrina,,,K.Viljak,77,,"Lõ-pe, lõ-pe põl-lu--ke-ne, sa-a ot-sa, saa-re-ke-ne.",,K.Viljak (77),500. Kadrina,,,1365,,,,"Lõpe, lõpe põllukene, saa otsa, saarekene."
67,501,0501-r,4,,2/4,Jõhvi,,,Penna-Sildnik,39,b,Ma ei to-hi tois-te laul-da ...,,Penna-Sildnik (39) b,501. Jõhvi,,,1365,,,,Ma ei tohi toiste laulda ...
,502,0502-r,4,,2/4,Vändra,,,Saar,"5 b, e",,"Oh si-na hul-lu hun-di-ke-ne, oh-si-na hul-lu hun-di-ke-ne.",,"Saar (5 b, e)",502. Vändra,,,1365,,,,"Oh sina hullu hundikene, ohsina hullu hundikene."
,503,0503-r,4,,2/4,Kadrina,,,K.Viljak,45,,"Mei-e kak-si vaes-ta las-ta, mei-e kak-si kui ka-na-da.",,K.Viljak (45),503. Kadrina,,,1365,,,,"Meie kaksi vaesta lasta, meie kaksi kui kanada."
,504,0504-r,4,,2/4,Kuusalu,,,Viljak-Vilberg,32,,"Vii-sin tam-me äi-a-õu-e, is-tu-tin ko-va-le maa-le.",,Viljak-Vilberg (32),504. Kuusalu,,,1365,,,,"Viisin tamme äiaõue, istutin kovale maale."
,505,0505-r,4,,2/4,Koeru,,,Välbe-Martin-Rosenstrauch,66,,Väl-jal ning ka met-sa-sees rõõm-sa las-te lau-lu-hääl.,,Välbe-Martin-Rosenstrauch (66),505. Koeru,,,1365,,,,Väljal ning ka metsasees rõõmsa laste lauluhääl.
,506,0506-r,4,,2/4,Järva-Madise,,,P.Penna,13/6,,"Sõõ-ru, sõõ-ru, sõ-ge leh-ma, an-na pii-ma, pi-me leh-ma.",,P.Penna (13/6),506. Järva-Madise,,,1365,,,,"Sõõru, sõõru, sõge lehma, anna piima, pime lehma."
,507,0507-r,4,,2/4,Järva-Madise,,,P.Penna,76/1,,"Oh me hea-da här-ra-kes-ta, _ _ kul-da-kroo-ni prou-a-kes-ta.",,P.Penna (76/1),507. Järva-Madise,,,1365,,,,"Oh me heada härrakesta, kuldakrooni prouakesta."
,508,0508-r,4,,2/4,Väike-Maarja,,,P.Penna,179,b,Oh mi-na vae-ne var-be-la-ne ...,,P.Penna (179) b,508. Väike-Maarja,,,1365,,,,Oh mina vaene varbelane ...
68,509,0509-r,4,,2/4,Väike-Maarja,,,P.Penna,178,a,"I-sa a'as mind kõn-di-mai-e, e-ma a'-as äes-ta-mai-e.",,P.Penna (178) a,509. Väike-Maarja,,,1365,,,,"Isa a'as mind kõndimaie, ema a'as äestamaie."
,510,0510-r,4,,2/4,Väike-Maarja,,,P.Penna,179,c,Mis mi-na hoo-lin juu-e-es-sa ...,,P.Penna (179) c,510. Väike-Maarja,,,1365,,,,Mis mina hoolin juueessa ...
,511,0511-r,4,,2/4,Kadrina,,,K.Viljak,70,,"Läh-me _ _ siit lä-bi kü-la-de, _ _ lä-bi uu-te uu-lit-sa-te.",,K.Viljak (70),511. Kadrina,,,1365,,,,"Lähme siit läbi külade, läbi uute uulitsate."
,512,0512-r,4,,2/4,Haljala,,,Penna-Luud,164 b,, ,,Penna-Luud (164 b),512. Haljala,,,1365,,,, 
,513,0513-r,4,,2/4,Järva-Madise,,,P.Penna,79/4,,"Lau-la, lau-la, miks ei lau-la: lau-lik i-sa, lau-lik e-ma.",,P.Penna (79/4),513. Järva-Madise,,,1365,,,,"Laula, laula, miks ei laula: laulik isa, laulik ema."
,514,0514-r,4,,2/4,Koeru,,,Välbe-Martin-Rosenstrauch,15,,"Kui mi-na hak-kan luu-le-mai-e, luu-le-mai-e, lau-le-mai-e.",,Välbe-Martin-Rosenstrauch (15),514. Koeru,,,1365,,,,"Kui mina hakkan luulemaie, luulemaie, laulemaie."
,515,0515-r,4,,2/4,Kodavere,,,Liiv-Raja,108,,"Kui mi-na hak-kan luu-le-mai-e, luu-le-mai-e, lau-le-mai-e.",,Liiv-Raja (108),515. Kodavere,,,1365,,,,"Kui mina hakkan luulemaie, luulemaie, laulemaie."
,516,0516-r,4,,2/4,Jõelähtme,,,K.Viljak,27,,Ma läen Koi-su-le ko-si-je: Koi-sul ne-li neit-si-kes-ta.,,K.Viljak (27),516. Jõelähtme,,,1365,,,,Ma läen Koisule kosije: Koisul neli neitsikesta.
69,517,0517-r,4,,2/4,Järvamaa,,,Penna-Rosenstrauch,173,,"Las-ke suud _ _ sui-sa joos-ta, suud _ _ sui-sa, lõu-ad lau-sa.",,Penna-Rosenstrauch (173),517. Järvamaa,,,1365,,,,"Laske suud suisa joosta, suud suisa, lõuad lausa."
,518,0518-r,4,,2/4,Pärnu ja Tori,,,Tatz-Sildnik,35,,"Lät-sin mõt-sa oh-tu-el-le, oh-tu-el-le, hom-mu-kul-le.",,Tatz-Sildnik (35),518. Pärnu ja Tori,,,1365,,,,"Lätsin mõtsa ohtuelle, ohtuelle, hommukulle."
,519,0519-r,4,,2/4,Rakvere ja Haljala,1877,,Lähteenkorva,366,,"Peii-u-ke-ne, poi-si-ke-ne, kui läed saa-ja sõi-te-mai-e.",,Lähteenkorva (366),"519. Rakvere ja Haljala, 1877",,,1365,,,,"Peiiukene, poisikene, kui läed saaja sõitemaie."
